ID,DATE,MANUFACTURER,S15,EQUIPMENT_FAILURE
100002,12/2/14,R,23.52,0
100002,12/3/14,R,27.36,0
100002,12/4/14,R,29.52,0
100002,12/5/14,R,22.8,0
100002,12/6/14,R,24.24,0
100002,12/7/14,R,25.2,0
100002,12/8/14,R,23.28,0
100002,12/9/14,R,30,0
100002,12/10/14,R,22.56,0
100002,12/11/14,R,27.12,0
100002,12/12/14,R,24.48,0
100002,12/13/14,R,23.04,0
100002,12/14/14,R,19.44,0
100002,12/15/14,R,27.12,0
100002,12/16/14,R,21.36,0
100002,12/17/14,R,19.44,0
100002,12/18/14,R,10.0344,0
100002,12/19/14,R,10.5672,0
100002,12/20/14,R,2.0832,0
100002,12/21/14,R,7.0176,0
100002,12/22/14,R,9.6792,0
100002,12/23/14,R,7.6704,0
100002,12/24/14,R,5.8776,0
100002,12/25/14,R,4.7736,0
100002,12/26/14,R,28.56,0
100002,12/27/14,R,19.92,0
100002,12/28/14,R,24.96,0
100002,12/29/14,R,24.72,0
100002,12/30/14,R,25.2,0
100002,12/31/14,R,24.48,0
100002,1/1/15,R,23.76,0
100002,1/2/15,R,29.52,0
100002,1/3/15,R,27.12,0
100002,1/4/15,R,19.44,0
100002,1/5/15,R,20.88,0
100002,1/6/15,R,23.04,0
100002,1/7/15,R,19.68,0
100002,1/8/15,R,26.88,0
100002,1/9/15,R,0,0
100002,1/10/15,R,27.36,0
100002,1/11/15,R,18.96,0
100002,1/12/15,R,28.8,0
100002,1/13/15,R,21.36,0
100002,1/14/15,R,14.8256,0
100002,1/15/15,R,26.16,0
100002,1/16/15,R,28.8,0
100002,1/17/15,R,24.96,0
100002,1/18/15,R,18.24,0
100002,1/19/15,R,26.6112,0
100002,1/20/15,R,18.96,0
100002,1/21/15,R,21.6,0
100002,1/22/15,R,25.68,0
100002,1/23/15,R,23.28,0
100002,1/24/15,R,25.2,0
100002,1/25/15,R,21.36,0
100002,1/26/15,R,26.1,0
100002,1/27/15,R,19.68,0
100002,1/28/15,R,29.76,0
100002,1/29/15,R,21.36,0
100002,1/30/15,R,26.64,0
100002,1/31/15,R,28.8,0
100002,2/1/15,R,24.96,0
100002,2/2/15,R,19.2456,0
100002,2/3/15,R,22.8,0
100002,2/4/15,R,21.36,0
100002,2/5/15,R,29.28,0
100002,2/6/15,R,26.64,0
100002,2/7/15,R,18.96,0
100002,2/8/15,R,21.84,0
100002,2/9/15,R,28.32,0
100002,2/10/15,R,26.64,0
100002,2/11/15,R,29.28,0
100002,2/12/15,R,21.84,0
100002,2/13/15,R,19.2,0
100002,2/14/15,R,7.6368,0
100002,2/15/15,R,10.3896,0
100002,2/16/15,R,8.2584,0
100002,2/17/15,R,7.9032,0
100002,2/18/15,R,8.2584,0
100002,2/19/15,R,7.4592,0
100002,2/20/15,R,10.7616,0
100002,2/21/15,R,7.2816,0
100002,2/22/15,R,8.5248,0
100002,2/23/15,R,7.1136,0
100002,2/24/15,R,6.9264,0
100002,2/25/15,R,11.0352,0
100002,2/26/15,R,10.944,0
100002,2/27/15,R,8.3904,0
100002,2/28/15,R,10.3056,0
100002,3/1/15,R,8.208,0
100002,3/2/15,R,8.9856,0
100002,3/3/15,R,7.3008,0
100002,3/4/15,R,10.296,0
100002,3/5/15,R,10.6704,0
100002,3/6/15,R,9.312,0
100002,3/7/15,R,7.68,0
100002,3/8/15,R,11.9952,0
100002,3/9/15,R,11.8944,0
100002,3/10/15,R,10.7856,0
100002,3/11/15,R,9.1728,0
100002,3/12/15,R,11.7096,0
100002,3/13/15,R,9.4464,0
100002,3/14/15,R,8.5608,0
100002,3/15/15,R,11.04,0
100002,3/16/15,R,9.4464,0
100002,3/17/15,R,10.4304,0
100002,3/18/15,R,11.6112,0
100002,3/19/15,R,11.1192,0
100002,3/20/15,R,11.316,0
100002,3/21/15,R,11.316,0
100002,3/22/15,R,11.2176,0
100002,3/23/15,R,9.216,0
100002,3/24/15,R,9.12,0
100002,3/25/15,R,9.792,0
100002,3/26/15,R,10.176,0
100002,3/27/15,R,9.984,0
100002,3/28/15,R,9.888,0
100002,3/29/15,R,10.1352,0
100002,3/30/15,R,10.4304,0
100002,3/31/15,R,7.6608,0
100002,4/1/15,R,10.0368,0
